label,precision,recall,f1,support,error_rate
caution_and_advice,0.5,0.46774193548387094,0.4833333333333333,62,0.532258064516129
displaced_people_and_evacuations,0.2872340425531915,0.675,0.4029850746268657,40,0.32499999999999996
infrastructure_and_utility_damage,0.7510373443983402,0.7298387096774194,0.740286298568507,248,0.2701612903225806
injured_or_dead_people,0.9133858267716536,0.7656765676567657,0.8330341113105926,303,0.23432343234323427
missing_or_found_people,0.5,0.6923076923076923,0.5806451612903226,13,0.3076923076923077
not_humanitarian,0.38461538461538464,0.44642857142857145,0.41322314049586784,56,0.5535714285714286
other_relevant_information,0.4646017699115044,0.3684210526315789,0.410958904109589,285,0.631578947368421
requests_or_urgent_needs,0.36936936936936937,0.41,0.38862559241706157,100,0.5900000000000001
rescue_volunteering_or_donation_effort,0.8525835866261399,0.8577981651376146,0.8551829268292683,1308,0.14220183486238536
sympathy_and_support,0.7378378378378379,0.8076923076923077,0.7711864406779662,338,0.1923076923076923
